2020-11-27_14-40-38-452, ypr, -159.54, -3.15, -58.80, areal, 4137, -2121, 2781
2020-11-27_14-40-38-470, ypr, -157.06, -0.64, -57.95, areal, 3580, -2941, 3371
2020-11-27_14-40-38-488, ypr, -154.59, 2.01, -56.90, areal, 5354, -4575, 6938
2020-11-27_14-40-38-504, ypr, -153.06, 3.42, -56.16, areal, 6629, -4305, 8173
2020-11-27_14-40-38-521, ypr, -150.19, 6.00, -54.65, areal, 8644, -4793, 9519
2020-11-27_14-40-38-538, ypr, -147.85, 7.77, -53.43, areal, 5875, -4314, 6987
2020-11-27_14-40-38-556, ypr, -146.63, 8.47, -52.89, areal, 2971, -3731, 3939
2020-11-27_14-40-38-571, ypr, -146.02, 8.95, -52.64, areal, 2778, -3279, 3261
2020-11-27_14-40-38-591, ypr, -144.54, 10.27, -52.21, areal, 2122, -2368, 2157
2020-11-27_14-40-38-611, ypr, -142.64, 12.69, -51.53, areal, 3596, -2382, 3439
2020-11-27_14-40-38-628, ypr, -140.80, 14.90, -50.93, areal, 6322, -2516, 4915
2020-11-27_14-40-38-644, ypr, -140.08, 15.64, -50.64, areal, 5954, -3393, 6074
